t,eyebrows_interp,pitch
1.67,0.8675501017465779,150.15662941378173
1.672,0.8585021727210124,150.3085038030301
1.674,0.849454243695447,150.46569701411556
1.676,0.8404063146698816,150.62647941915623
1.678,0.8313583856443161,150.78783969719132
1.68,0.8223104566187507,150.94661999215757
1.682,0.8132625275931853,151.09978915655583
1.684,0.8042145985676199,151.24442692328014
1.686,0.7951666695420544,151.37841479877525
1.688,0.786118740516489,151.50075655725902
1.69,0.7770708114909236,151.61143261240318
1.692,0.7680228824653581,151.71142101305622
1.694,0.7589749534397927,151.8023391221573
1.696,0.7499270244142273,151.88535959562623
1.698,0.7408790953886619,151.9602693929499
1.7,0.7318311663630964,152.02551347024
1.702,0.7344162889418283,152.07864487281043
1.704,0.7370014115205602,152.11688984110808
1.706,0.7395865340992922,152.13845332455458
1.708,0.7421716566780241,152.14365158178154
1.71,0.744756779256756,152.13487628590482
1.712,0.7473419018354879,152.11641211146517
1.714,0.7499270244142198,152.09345449464325
1.716,0.7525121469929518,152.07072682156132
1.718,0.7550972695716837,152.0510335163001
1.72,0.7576823921504156,152.03524973887522
1.722,0.7602675147291474,152.02314266248746
1.724,0.7628526373078794,152.0135245866014
1.726,0.7654377598866113,152.00468104887938
1.728,0.7680228824653432,151.9952472495892
1.73,0.7706080050440751,151.98399046610422
1.732,0.773193127622807,151.96953969106775
1.734,0.7753473964384194,151.9506320774205
1.736,0.7766399577277928,151.92636223113843
1.738,0.7779325190171661,151.89607943842785
1.74,0.7792250803065394,151.85924925018136
1.742,0.7805176415959127,151.81566504594792
1.744,0.781810202885286,151.76578124142912
1.746,0.7831027641746593,151.70947935306197
1.748,0.7843953254640327,151.64566407650136
1.75,0.785687886753406,151.57375599984235
1.752,0.7869804480427792,151.4965551533582
1.754,0.7882730093321526,151.41450300510138
1.756,0.7895655706215259,151.31475632468792
1.758,0.7908581319108992,151.18658141419067
1.76,0.7921506932002725,151.01199426824869
1.762,0.7934432544896458,150.76577748480133
1.764,0.7947358157790191,150.42342351093228
1.766,0.7960283770683925,149.9570049562565
